running_id,10km,17km,gross_time,net_time
8122,00:42:34,01:15:02,01:32:57,01:32:52
3592,00:43:36,01:15:35,01:33:57,01:32:54
9130,00:42:46,01:15:00,01:33:12,01:32:55
5394,00:45:29,01:16:46,01:33:26,01:32:55
116,,,01:43:00,01:32:57
1999,00:42:57,01:14:59,01:33:17,01:33:00
965,00:43:24,01:15:28,01:33:45,01:33:01
4464,00:42:09,01:12:58,01:33:28,01:33:03
4758,00:42:47,01:15:00,01:33:21,01:33:03
3964,00:41:40,01:15:02,01:33:07,01:33:03
9834,00:43:22,01:15:26,01:33:23,01:33:07
9006,00:43:06,01:15:39,01:33:40,01:33:07
3647,00:44:13,01:15:51,01:33:43,01:33:07
411,00:43:28,01:15:40,01:33:30,01:33:07
5433,00:42:04,01:14:47,01:34:23,01:33:15
2058,00:42:37,01:14:40,01:33:39,01:33:19
6456,00:43:36,01:15:55,01:33:47,01:33:19
2495,00:44:22,01:16:24,01:33:47,01:33:21
9235,00:45:36,01:17:03,01:41:13,01:33:21
4224,00:43:20,01:15:23,01:34:16,01:33:21
9140,00:44:58,01:16:32,01:33:54,01:33:21
3907,00:43:33,01:15:45,01:33:46,01:33:22
1979,00:44:04,01:16:01,01:34:52,01:33:24
4148,00:45:05,01:16:30,01:34:07,01:33:24
1323,00:43:40,01:15:42,01:33:54,01:33:27
6964,00:42:45,01:15:32,01:33:40,01:33:28
5655,00:42:54,01:15:33,01:33:54,01:33:29
5965,00:44:22,01:15:56,01:34:08,01:33:30
8521,,,01:45:10,01:33:30
7468,00:44:27,01:16:20,01:34:53,01:33:31
1764,00:43:46,01:16:00,01:34:09,01:33:33
6944,00:43:50,01:16:17,01:33:47,01:33:36
9053,00:44:03,01:16:04,01:34:17,01:33:39
4275,00:44:37,01:16:55,01:34:13,01:33:41
6554,00:43:59,01:16:26,01:34:09,01:33:42
5003,00:44:59,01:16:34,01:41:11,01:33:45
4233,00:42:41,01:15:57,01:37:25,01:33:47
9811,00:42:28,01:14:31,01:33:50,01:33:48
1167,00:42:47,01:15:31,01:34:22,01:33:48
4321,00:40:43,01:13:47,01:34:00,01:33:50
5092,00:43:13,01:15:52,01:34:07,01:33:50
396,00:42:23,01:15:13,01:34:03,01:33:50
6672,00:42:07,01:14:17,01:34:04,01:33:50
5706,00:44:59,01:16:25,01:37:28,01:33:51
1203,00:43:18,01:15:56,01:34:21,01:33:51
2499,00:43:33,01:15:58,01:34:24,01:33:52
2521,00:42:37,01:15:27,01:34:08,01:33:53
5521,00:42:30,01:15:08,01:34:03,01:33:53
2714,00:43:05,01:16:18,01:34:13,01:33:58
2431,00:43:39,01:15:52,01:34:20,01:33:58
5950,00:44:50,01:16:28,01:34:40,01:33:59
5506,00:43:29,01:15:59,01:34:33,01:34:00
5405,00:44:00,01:16:36,01:34:23,01:34:00
4223,00:42:17,01:15:13,01:34:20,01:34:01
5522,00:43:46,01:16:17,01:34:31,01:34:02
5400,00:43:05,01:16:27,01:34:24,01:34:03
1462,00:44:52,01:17:04,01:34:30,01:34:05
5463,00:46:29,01:18:35,01:34:30,01:34:06
6038,00:43:00,01:15:54,01:34:41,01:34:07
8014,00:41:49,01:16:45,01:35:30,01:34:08
3005,00:44:19,01:16:18,01:34:38,01:34:08
9033,00:42:04,01:15:34,01:34:16,01:34:09
8855,00:44:41,01:16:48,01:34:45,01:34:16
7461,00:45:10,01:17:20,01:39:26,01:34:18
3465,00:44:57,01:16:46,01:34:38,01:34:22
8166,00:44:35,01:16:53,01:34:26,01:34:24
6067,00:41:38,01:15:33,01:41:36,01:34:24
8428,00:43:03,01:16:10,01:34:40,01:34:26
6035,00:42:51,01:15:32,01:34:42,01:34:26
5337,00:42:35,01:16:01,01:34:44,01:34:26
3435,00:47:47,01:19:04,01:35:44,01:34:27
6715,00:44:22,01:16:58,01:37:50,01:34:27
4528,00:42:43,01:15:16,01:34:45,01:34:27
8246,00:43:45,01:16:20,01:35:10,01:34:30
9045,00:42:57,01:15:51,01:34:55,01:34:30
7552,00:44:52,01:17:17,01:36:04,01:34:32
7598,00:43:12,01:16:08,01:34:58,01:34:32
543,00:44:17,01:16:38,01:35:18,01:34:34
8819,00:44:53,01:17:04,01:34:47,01:34:35
1852,00:44:52,01:17:18,01:35:18,01:34:38
8541,00:45:11,01:17:19,01:34:41,01:34:38
2169,00:43:42,01:16:14,01:34:55,01:34:40
4762,00:43:14,01:16:16,01:34:48,01:34:41
3040,00:43:12,01:16:15,01:35:01,01:34:42
7520,00:44:34,01:16:54,01:35:15,01:34:44
4730,00:46:06,01:18:12,01:35:40,01:34:45
8741,00:44:43,01:16:57,01:34:57,01:34:45
6414,00:43:19,01:16:03,01:34:53,01:34:45
8638,00:44:44,01:16:56,01:34:57,01:34:46
1351,00:45:27,01:17:29,01:35:19,01:34:50
5785,00:43:41,01:16:27,01:35:18,01:34:50
8720,00:46:36,01:17:51,01:39:25,01:34:51
237,00:43:41,01:17:16,01:35:18,01:34:54
4029,00:44:53,01:16:21,01:35:30,01:34:57
4926,00:42:45,01:17:14,01:42:35,01:35:00
8632,00:44:23,01:17:04,01:35:11,01:35:04
6816,00:45:36,01:18:00,01:36:31,01:35:05
3123,00:42:48,01:16:11,01:35:23,01:35:06
4497,00:43:20,01:16:30,01:35:45,01:35:08
1644,00:43:23,01:16:41,01:35:43,01:35:08
665,00:44:48,01:17:29,01:39:01,01:35:11
1362,00:44:16,01:17:29,01:35:25,01:35:13
6522,00:44:28,01:17:20,01:35:39,01:35:14
7583,00:45:24,01:17:35,01:36:06,01:35:19
6886,00:44:16,01:17:14,01:35:30,01:35:19
