running_id,10km,17km,gross_time,net_time
3779,00:44:06,01:15:28,01:33:15,01:31:58
724,00:44:02,01:15:27,01:33:37,01:31:59
3708,00:42:19,01:13:46,01:32:07,01:32:00
10668,00:42:47,01:14:15,01:32:15,01:32:01
4354,00:42:39,01:14:07,01:32:29,01:32:01
5464,00:42:59,01:14:18,01:32:43,01:32:04
4420,00:43:07,01:14:36,01:32:30,01:32:05
5553,00:43:36,01:15:01,01:32:22,01:32:06
6986,00:44:31,01:15:37,01:33:36,01:32:08
1632,00:42:19,01:13:49,01:32:31,01:32:10
10435,00:41:48,01:14:14,01:32:35,01:32:10
4554,00:43:49,01:15:10,01:32:39,01:32:13
3679,00:43:11,01:14:49,01:32:42,01:32:14
10618,00:42:07,01:14:15,01:32:38,01:32:15
432,00:42:04,01:13:54,01:32:44,01:32:15
6667,00:42:49,01:14:09,01:32:47,01:32:18
10823,00:42:06,01:13:09,01:32:22,01:32:18
6071,00:43:08,01:14:36,01:37:14,01:32:21
10600,00:43:12,01:14:52,01:32:57,01:32:22
660,00:45:07,01:15:09,01:38:06,01:32:24
5869,00:43:07,01:14:46,01:32:34,01:32:25
3036,00:42:27,01:14:43,01:32:49,01:32:27
10288,00:43:01,01:14:57,01:32:36,01:32:29
10993,00:42:02,01:13:26,01:33:04,01:32:33
4955,00:44:17,01:15:35,01:32:43,01:32:33
1118,00:42:16,01:14:02,01:32:42,01:32:34
10103,00:42:56,01:14:24,01:32:52,01:32:37
10057,00:42:56,01:14:24,01:32:53,01:32:38
7063,00:43:54,01:15:35,01:33:27,01:32:43
5233,00:43:13,01:15:04,01:33:02,01:32:43
3498,00:42:25,01:13:59,01:33:44,01:32:45
4989,00:43:15,01:15:28,01:33:43,01:32:46
10940,00:43:30,01:15:29,01:33:19,01:32:47
1653,00:41:42,01:13:38,01:33:00,01:32:48
3837,00:42:19,01:14:04,01:32:59,01:32:49
3815,00:43:56,01:15:42,01:33:18,01:32:49
5618,00:44:10,01:15:41,01:33:39,01:32:50
6709,00:43:55,01:15:39,01:34:28,01:32:51
5451,00:44:19,01:15:48,01:33:17,01:32:54
10392,00:43:13,01:15:08,01:33:18,01:32:54
640,00:43:07,01:15:29,01:33:10,01:32:56
5255,00:42:32,01:14:36,01:33:29,01:32:59
10081,00:44:23,01:16:12,01:33:13,01:33:01
10904,00:44:59,01:16:15,01:37:38,01:33:02
10239,00:43:45,01:15:41,01:33:33,01:33:02
5083,00:45:12,01:16:36,01:33:58,01:33:04
6888,00:44:21,01:16:24,01:37:52,01:33:04
6770,00:42:05,01:13:27,01:33:29,01:33:06
929,00:43:19,01:15:48,01:34:01,01:33:07
6772,00:42:05,01:13:28,01:33:29,01:33:07
10385,00:44:06,01:15:57,01:33:29,01:33:07
443,00:44:33,01:16:09,01:34:00,01:33:08
4436,00:44:13,01:15:57,01:33:31,01:33:08
6296,00:44:11,01:15:56,01:33:55,01:33:08
6141,00:42:07,01:13:43,01:33:33,01:33:08
3273,00:43:09,01:15:12,01:33:35,01:33:15
2157,00:43:32,01:15:24,01:33:53,01:33:17
3100,00:42:56,01:14:52,01:33:49,01:33:17
6040,00:43:02,01:15:07,01:33:34,01:33:17
2812,00:44:52,01:16:17,01:33:39,01:33:18
10576,00:44:08,01:16:03,01:33:46,01:33:19
6782,00:42:46,01:14:51,01:33:39,01:33:19
2937,00:42:23,01:15:50,01:33:50,01:33:19
974,00:43:11,01:15:26,01:34:09,01:33:21
1422,00:44:28,01:16:10,01:34:19,01:33:22
349,00:42:18,01:14:26,01:33:34,01:33:25
694,00:43:32,01:15:36,01:34:20,01:33:25
10535,00:44:35,01:16:23,01:33:45,01:33:25
6983,00:44:38,01:16:17,01:34:05,01:33:27
3029,00:43:35,01:15:13,01:33:49,01:33:27
51,00:43:39,01:16:07,01:33:47,01:33:28
6729,00:42:13,01:14:50,01:33:42,01:33:28
10595,00:44:35,01:16:01,01:34:07,01:33:32
4591,00:43:31,01:15:53,01:34:13,01:33:33
137,00:44:12,01:15:57,01:34:14,01:33:35
3136,00:44:20,01:16:11,01:34:03,01:33:37
6595,00:43:23,01:15:44,01:33:50,01:33:38
3071,00:45:17,01:16:16,01:34:35,01:33:38
10899,00:43:04,01:15:14,01:34:23,01:33:41
191,00:44:27,01:16:07,01:45:02,01:33:42
4152,00:41:59,01:14:56,01:34:12,01:33:43
735,00:43:56,01:16:08,01:34:11,01:33:44
10446,00:44:43,01:16:52,01:34:11,01:33:45
2949,00:45:25,01:16:42,01:38:23,01:33:47
3331,00:44:36,01:16:40,01:34:19,01:33:50
6750,00:45:01,01:16:46,01:35:10,01:33:50
1077,00:43:57,01:16:26,01:34:02,01:33:51
10818,00:41:47,01:13:38,01:34:02,01:33:51
4503,00:43:08,01:15:10,01:34:37,01:33:54
10791,00:43:52,01:16:08,01:34:50,01:33:58
4390,00:42:44,01:15:33,01:34:18,01:33:59
6853,00:41:38,01:15:16,01:34:09,01:33:59
4343,00:43:54,01:16:54,01:34:22,01:33:59
6489,00:43:49,01:16:09,01:34:29,01:34:02
144,00:44:02,01:16:06,01:34:45,01:34:03
3734,00:44:48,01:16:31,01:34:54,01:34:03
1692,00:44:48,01:16:31,01:34:55,01:34:04
6671,00:44:09,01:16:01,01:34:31,01:34:04
2987,00:45:01,01:16:56,01:34:52,01:34:14
4703,00:45:43,01:16:51,01:35:47,01:34:15
751,00:43:48,01:16:28,01:34:51,01:34:16
1076,00:43:57,01:16:25,01:34:29,01:34:17
7238,00:42:00,01:14:56,01:34:34,01:34:18
7988,00:42:04,01:14:49,01:34:41,01:34:18
6388,00:45:25,01:17:12,01:34:48,01:34:20
426,00:44:19,01:16:43,01:35:15,01:34:20
3432,00:44:19,01:16:35,01:35:04,01:34:20
531,00:45:29,01:16:58,01:40:49,01:34:20
6844,00:44:47,01:16:31,01:35:25,01:34:23
2794,00:46:04,01:17:12,01:35:35,01:34:24
4275,00:44:02,01:16:14,01:34:58,01:34:27
10856,00:44:31,01:16:52,01:39:27,01:34:27
3546,00:42:18,01:14:07,01:35:24,01:34:29
